record_id,reporting_date,programme_name,sector,state,lga,community,predicted_risk,high_risk_model_score,primary_driver,secondary_driver,tertiary_driver,strongest_protective_signal,recommended_investigation,decision_use
ES-004826,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 1,Medium,0.0011763027527491,Elevated complaints,Supply delay,Low achievement,Timely reporting,"Review feedback and complaint records for recurring operational issues. | Review procurement, logistics and supply-chain bottlenecks. | Review progress against targets and identify implementation bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-002138,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Mafa,Mafa Site 1,High,0.9815631974089948,Low achievement,Access constraints,Low staff availability,Lower complaints,"Review progress against targets and identify implementation bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-005434,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Bama,Bama Site 2,Low,1.1003237153624025e-21,Supply delay,Access constraints,Low staff availability,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review access, movement and operational constraints affecting delivery. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-000666,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Mafa,Mafa Site 3,Low,3.6734460616390316e-17,Low staff availability,Elevated complaints,Access constraints,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Review feedback and complaint records for recurring operational issues. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-000058,2026-02-01,Community Resilience Programme,Protection/Resilience,Borno,Maiduguri,Maiduguri Site 2,Low,2.345189640724557e-15,Low staff availability,Low activity completion,Supply delay,Strong achievement,"Review staffing coverage, absences and field deployment capacity. | Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks.",Recommended for human review; the model does not make operational decisions.
ES-001754,2026-02-01,Livelihood Recovery Initiative,Livelihoods,Borno,Jere,Jere Site 1,High,0.6419486350228469,Low achievement,Reporting delay,Access constraints,Lower complaints,"Review progress against targets and identify implementation bottlenecks. | Validate reporting timeliness and follow up on delayed field submissions. | Review access, movement and operational constraints affecting delivery.",Recommended for human review; the model does not make operational decisions.
ES-006842,2026-02-01,WASH Resilience Initiative,WASH,Borno,Mafa,Mafa Site 4,Low,8.80242294392925e-09,Reporting delay,Low staff availability,Lower data quality,Limited supply delay,"Validate reporting timeliness and follow up on delayed field submissions. | Review staffing coverage, absences and field deployment capacity. | Validate source data, completeness and reporting quality.",Recommended for human review; the model does not make operational decisions.
ES-004922,2026-02-01,Nutrition Support Programme,Nutrition,Borno,Jere,Jere Site 4,Medium,0.0089653222749372,Low achievement,Low activity completion,Reporting delay,Lower access constraints,Review progress against targets and identify implementation bottlenecks. | Review delayed or incomplete activities and implementation constraints. | Validate reporting timeliness and follow up on delayed field submissions.,Recommended for human review; the model does not make operational decisions.
ES-003418,2026-02-01,Education Access Project,Education,Borno,Jere,Jere Site 5,Medium,0.0006631632305411,Low activity completion,Supply delay,Low staff availability,Lower access constraints,"Review delayed or incomplete activities and implementation constraints. | Review procurement, logistics and supply-chain bottlenecks. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
ES-003482,2026-02-01,Education Access Project,Education,Borno,Konduga,Konduga Site 1,Low,6.010337674833989e-28,Supply delay,Previous-month achievement pattern,Low staff availability,Strong achievement,"Review procurement, logistics and supply-chain bottlenecks. | Review recent performance trends for persistent underachievement. | Review staffing coverage, absences and field deployment capacity.",Recommended for human review; the model does not make operational decisions.
